timestamp,temp_C,DO_mgL,pH,TAN_mgL,NO2N_mgL,NO3N_mgL,alkalinity_mgL,flow_m3_h,feed_kg_h,biomass_kg
2026-03-01T00:00,13.8,9.84,7.14,0.044,0,29.6,178,108,2.6,4820
2026-03-01T01:00,14.01,9.81,7.14,0.061,0.0014,30.3,174,108,2.6,4820
2026-03-01T02:00,14.05,9.75,7.16,0.049,0,29.5,171,108,2.6,4820
2026-03-01T03:00,14.14,9.89,7.13,0.057,0,28.7,176,108,2.6,4820
2026-03-01T04:00,14.23,9.73,7.14,0.049,0,29.7,182,108,2.6,4820
2026-03-01T05:00,14.23,9.95,7.12,0.048,0,30.3,178,108,2.6,4820
2026-03-01T06:00,14.23,9.99,7.1,0.036,0.0034,30.3,175,108,2.6,4820
2026-03-01T07:00,14.4,9.76,7.08,0.056,0.0023,30.1,181,108,2.6,4820
2026-03-01T08:00,14.23,10.0,7.05,0.047,0.0008,30.0,179,108,2.6,4820
2026-03-01T09:00,14.08,9.85,7.01,0.065,0.0046,29.4,175,108,2.6,4820
2026-03-01T10:00,14.09,9.83,6.97,0.054,0.005,30.6,177,108,2.6,4820
2026-03-01T11:00,13.91,10.01,6.97,0.05,0,30.4,178,108,2.6,4820
2026-03-01T12:00,13.79,9.87,6.94,0.049,0.0047,30.6,178,108,2.6,4820
2026-03-01T13:00,13.71,9.96,6.95,0.055,0.0023,29.5,179,108,2.6,4820
2026-03-01T14:00,13.45,9.84,6.92,0.044,0.0007,31.6,175,108,2.6,4820
2026-03-01T15:00,13.41,9.91,6.96,0.053,0,30.7,180,108,2.6,4820
2026-03-01T16:00,13.3,9.87,6.96,0.042,0.001,29.7,182,108,2.6,4820
2026-03-01T17:00,13.33,9.81,6.98,0.053,0,29.6,179,108,2.6,4820
2026-03-01T18:00,13.17,9.71,7.02,0.064,0,30.7,179,108,2.6,4820
2026-03-01T19:00,13.22,10.0,7.05,0.054,0,30.1,174,108,2.6,4820
2026-03-01T20:00,13.43,9.86,7.05,0.045,0,29.5,183,108,2.6,4820
2026-03-01T21:00,13.44,9.87,7.1,0.046,0,29.9,178,108,2.6,4820
2026-03-01T22:00,13.53,9.74,7.1,0.045,0.0066,29.8,174,108,2.6,4820
2026-03-01T23:00,13.69,9.74,7.15,0.052,0,29.2,181,108,2.6,4820
2026-03-02T00:00,13.8,9.8,7.14,0.06,0,30.1,174,108,2.6,4820
2026-03-02T01:00,13.86,9.82,7.17,0.058,0,30.0,176,108,2.6,4820
2026-03-02T02:00,14.09,9.85,7.15,0.055,0.0047,30.6,180,108,2.6,4820
2026-03-02T03:00,14.12,9.95,7.12,0.066,0,30.6,181,108,2.6,4820
2026-03-02T04:00,14.28,9.83,7.15,0.073,0,30.7,180,108,2.6,4820
2026-03-02T05:00,14.34,10.0,7.15,0.041,0,30.7,174,108,2.6,4820
2026-03-02T06:00,14.3,9.72,7.11,0.029,0.001,30.3,177,108,2.6,4820
2026-03-02T07:00,14.29,9.73,7.06,0.053,0,29.2,180,108,2.6,4820
2026-03-02T08:00,14.23,9.78,7.05,0.047,0,29.7,179,108,2.6,4820
2026-03-02T09:00,14.11,9.9,7.02,0.079,0,30.8,178,108,2.6,4820
2026-03-02T10:00,14.05,9.83,6.97,0.064,0,30.3,177,108,2.6,4820
2026-03-02T11:00,14.0,9.67,6.98,0.046,0,28.3,176,108,2.6,4820
2026-03-02T12:00,13.88,9.76,6.96,0.043,0.0045,30.3,178,108,2.6,4820
2026-03-02T13:00,13.67,9.94,6.95,0.061,0.0009,29.6,180,108,2.6,4820
2026-03-02T14:00,13.51,9.75,6.97,0.053,0,29.4,185,108,2.6,4820
2026-03-02T15:00,13.53,9.94,6.95,0.059,0,30.4,178,108,2.6,4820
2026-03-02T16:00,13.37,9.84,6.95,0.053,0.0048,30.4,178,108,2.6,4820
2026-03-02T17:00,13.41,9.83,6.97,0.033,0.0063,30.8,182,108,2.6,4820
2026-03-02T18:00,13.34,9.89,7.01,0.052,0,30.3,184,108,2.6,4820
2026-03-02T19:00,13.35,9.82,7.03,0.047,0.0064,30.5,178,108,2.6,4820
2026-03-02T20:00,13.35,9.86,7.04,0.065,0,30.1,177,108,2.6,4820
2026-03-02T21:00,13.45,9.85,7.06,0.044,0.0035,29.8,180,108,2.6,4820
2026-03-02T22:00,13.64,9.81,7.1,0.057,0,29.6,180,108,2.6,4820
2026-03-02T23:00,13.79,9.85,7.12,0.042,0.0013,29.5,174,108,2.6,4820
2026-03-03T00:00,13.88,9.97,7.13,0.073,0.001,30.6,186,108,2.6,4820
2026-03-03T01:00,13.92,9.75,7.14,0.055,0.0059,30.8,174,108,2.6,4820
2026-03-03T02:00,14.0,9.89,7.14,0.052,0.0009,30.4,177,108,2.6,4820
2026-03-03T03:00,14.15,9.86,7.15,0.061,0.0075,30.6,178,108,2.6,4820
2026-03-03T04:00,14.13,9.69,7.14,0.038,0.0034,30.7,177,108,2.6,4820
2026-03-03T05:00,14.18,9.81,7.11,0.062,0.009,30.4,175,108,2.6,4820
2026-03-03T06:00,14.23,9.85,7.09,0.041,0.0005,29.5,182,108,2.6,4820
2026-03-03T07:00,14.35,9.83,7.09,0.061,0,30.0,177,108,2.6,4820
2026-03-03T08:00,14.16,9.94,7.02,0.052,0.0009,30.8,171,108,2.6,4820
2026-03-03T09:00,14.11,9.9,7.02,0.05,0.0041,30.4,173,108,2.6,4820
2026-03-03T10:00,13.99,9.91,7.01,0.032,0.0054,30.6,183,108,2.6,4820
2026-03-03T11:00,13.91,9.77,6.97,0.085,0,31.2,175,108,2.6,4820
2026-03-03T12:00,13.81,9.83,6.94,0.067,0,30.9,179,108,2.6,4820
2026-03-03T13:00,13.61,9.83,6.94,0.054,0,29.7,177,108,2.6,4820
2026-03-03T14:00,13.49,9.86,6.93,0.065,0,30.2,175,108,2.6,4820
2026-03-03T15:00,13.39,9.82,6.97,0.073,0,30.5,177,108,2.6,4820
2026-03-03T16:00,13.32,9.85,6.97,0.062,0,29.6,178,108,2.6,4820
2026-03-03T17:00,13.32,9.79,7.0,0.054,0,30.6,174,108,2.6,4820
2026-03-03T18:00,13.19,9.97,7.0,0.036,0,29.8,173,108,2.6,4820
2026-03-03T19:00,13.34,9.8,7.02,0.062,0,30.5,174,108,2.6,4820
2026-03-03T20:00,13.29,10.04,7.03,0.051,0.001,30.2,179,108,2.6,4820
2026-03-03T21:00,13.45,9.77,7.11,0.036,0,29.4,181,108,2.6,4820
2026-03-03T22:00,13.6,9.74,7.09,0.05,0.0056,28.5,180,108,2.6,4820
2026-03-03T23:00,13.61,9.77,7.14,0.051,0,29.6,184,108,2.6,4820
2026-03-04T00:00,13.85,9.79,7.13,0.032,0,30.2,178,108,2.6,4820
2026-03-04T01:00,13.92,9.86,7.13,0.054,0.0052,31.4,177,108,2.6,4820
2026-03-04T02:00,14.0,9.81,7.15,0.046,0,29.6,180,108,2.6,4820
2026-03-04T03:00,14.15,9.85,7.15,0.046,0,30.1,176,108,2.6,4820
2026-03-04T04:00,14.25,9.75,7.13,0.056,0,29.9,177,108,2.6,4820
2026-03-04T05:00,14.16,9.88,7.12,0.053,0,30.0,174,108,2.6,4820
2026-03-04T06:00,14.28,9.88,7.09,0.04,0.0009,30.3,177,108,2.6,4820
2026-03-04T07:00,14.26,9.72,7.08,0.06,0.001,30.4,180,108,2.6,4820
2026-03-04T08:00,14.19,9.93,7.04,0.06,0.0008,29.3,180,108,2.6,4820
2026-03-04T09:00,14.22,9.89,7.03,0.036,0.0038,30.1,168,108,2.6,4820
2026-03-04T10:00,14.07,9.75,6.97,0.047,0.0051,30.0,179,108,2.6,4820
2026-03-04T11:00,14.03,9.86,7.0,0.052,0,29.8,180,108,2.6,4820
2026-03-04T12:00,13.82,9.96,6.96,0.045,0,30.7,180,108,2.6,4820
2026-03-04T13:00,13.73,9.84,6.96,0.059,0,29.2,180,108,2.6,4820
2026-03-04T14:00,13.55,9.72,6.95,0.051,0,29.7,169,108,2.6,4820
2026-03-04T15:00,13.43,9.91,6.97,0.048,0,30.7,167,108,2.6,4820
2026-03-04T16:00,13.36,9.93,6.97,0.076,0.0045,30.4,179,108,2.6,4820
2026-03-04T17:00,13.36,9.87,6.98,0.067,0.0078,30.1,178,108,2.6,4820
2026-03-04T18:00,13.31,9.87,7.02,0.074,0,30.1,177,108,2.6,4820
2026-03-04T19:00,13.36,9.74,7.04,0.045,0.0013,29.8,172,108,2.6,4820
2026-03-04T20:00,13.43,9.92,7.06,0.051,0.0041,30.0,182,108,2.6,4820
2026-03-04T21:00,13.39,9.9,7.07,0.048,0.0027,30.2,174,108,2.6,4820
2026-03-04T22:00,13.55,9.96,7.1,0.049,0,30.8,187,108,2.6,4820
2026-03-04T23:00,13.79,9.9,7.13,0.076,0,29.4,178,108,2.6,4820
2026-03-05T00:00,13.83,9.74,7.13,0.04,0.0027,29.5,177,108,2.6,4820
2026-03-05T01:00,13.94,9.86,7.16,0.064,0,29.7,174,108,2.6,4820
2026-03-05T02:00,14.12,9.82,7.15,0.054,0,30.3,172,108,2.6,4820
2026-03-05T03:00,14.09,10.12,7.14,0.07,0,30.3,186,108,2.6,4820
2026-03-05T04:00,14.22,10.0,7.13,0.064,0.0027,29.5,186,108,2.6,4820
2026-03-05T05:00,14.39,9.95,7.13,0.034,0.0026,29.6,180,108,2.6,4820
2026-03-05T06:00,14.34,9.74,7.09,0.063,0,29.5,176,108,2.6,4820
2026-03-05T07:00,14.26,10.01,7.04,0.062,0.0044,30.8,178,108,2.6,4820
2026-03-05T08:00,14.12,9.79,7.03,0.053,0.0003,28.4,179,108,2.6,4820
2026-03-05T09:00,14.06,9.89,7.02,0.056,0,29.2,176,108,2.6,4820
2026-03-05T10:00,13.95,10.07,7.0,0.084,0.0053,29.9,175,108,2.6,4820
2026-03-05T11:00,14.02,9.9,6.97,0.057,0.0004,29.2,178,108,2.6,4820
2026-03-05T12:00,13.73,10.11,6.96,0.06,0,29.7,181,108,2.6,4820
