hour,biomass_gL,glucose_gL,DO_pct,pH,temp_C,agitation_rpm,titer_mgL,feed_mL_h,offgas_CO2_pct
0,10.652,0,95.6,7.021,37.0,320,3.1,45.4,3.59
1,10.545,0.18,95.3,7.025,37.0,320,2.6,44.8,3.54
2,10.585,0.18,94.5,6.998,37.0,320,3.21,44.8,3.57
3,10.568,0.62,96.1,7.024,37.0,320,3.15,44.0,3.56
4,10.454,0.33,95.7,7.023,37.0,320,2.6,44.2,3.48
5,10.606,0.43,94.6,7.005,37.0,320,2.91,43.6,3.47
6,10.499,0.4,95.0,7.026,37.0,320,2.79,44.3,3.53
7,10.627,0.26,95.3,7.018,37.0,320,3.01,45.7,3.54
8,10.564,0.57,94.5,7.016,37.0,320,2.53,45.6,3.47
9,10.504,0.4,95.8,7.027,37.0,320,1.9,44.0,3.45
10,10.47,0.2,96.3,7.016,37.0,320,2.49,45.7,3.5
11,10.55,0.15,94.8,7.025,37.0,320,2.13,43.4,3.55
12,10.593,0.18,94.0,7.018,37.0,320,2.35,44.7,3.58
13,10.551,0.48,94.7,7.024,37.0,320,3.12,43.7,3.48
14,10.533,0.32,96.1,7.028,37.0,320,2.26,44.7,3.46
15,10.488,0.63,94.0,7.023,37.0,320,2.49,45.9,3.52
16,10.55,0.26,95.7,7.009,37.0,320,2.49,43.9,3.57
17,10.525,0.08,94.5,7.05,37.0,320,2.67,45.9,3.52
18,10.542,0.15,94.6,7.016,37.0,320,2.04,47.6,3.55
19,10.55,0.23,94.2,7.031,37.0,320,2.65,45.5,3.43
20,10.565,0.63,94.6,7.03,37.0,320,2.72,46.1,3.55
21,10.546,0.17,95.1,7.021,37.0,320,2.52,45.5,3.52
22,10.489,0.25,97.2,7.03,37.0,320,2.74,47.5,3.48
23,10.394,0,93.6,7.023,37.0,320,3.0,42.8,3.56
24,10.469,0.32,95.2,7.025,37.0,320,2.71,45.2,3.44
25,10.559,0.45,95.6,7.051,37.0,320,3.03,45.7,3.58
26,10.557,0.04,93.0,7.035,37.0,320,2.88,45.8,3.48
27,10.563,0.61,95.1,7.007,37.0,320,2.58,46.4,3.45
28,10.388,0,93.8,7.03,37.0,320,2.73,44.2,3.44
29,10.536,0.24,94.4,7.017,37.0,320,2.48,46.8,3.38
30,10.55,0.09,95.4,7.017,37.0,320,2.82,45.5,3.51
31,10.602,0.02,95.6,7.017,37.0,320,2.82,46.6,3.56
32,10.662,0,94.1,7.032,37.0,320,2.37,44.8,3.59
33,10.595,0.1,95.2,7.028,37.0,320,2.73,44.9,3.51
34,10.453,0.29,94.1,7.025,37.0,320,2.83,44.1,3.53
35,10.564,0.26,95.4,7.016,37.0,320,2.62,45.1,3.5
36,10.611,0,94.6,6.996,37.0,320,2.55,45.2,3.5
37,10.599,0.32,92.6,7.006,37.0,320,3.16,46.5,3.5
38,10.447,0.65,93.1,7.023,37.0,320,2.67,45.2,3.44
39,10.514,0.45,94.4,7.002,37.0,320,2.68,45.0,3.49
40,10.49,0.35,94.7,7.005,37.0,320,2.75,44.9,3.5
41,10.435,0.12,95.1,7.03,37.0,320,2.79,45.1,3.53
42,10.598,0.58,95.2,7.013,37.0,320,2.84,43.0,3.5
43,10.514,0.26,95.2,7.02,37.0,320,2.26,44.6,3.46
44,10.541,0.33,94.1,7.029,37.0,320,3.09,44.7,3.54
45,10.453,0.17,95.6,6.999,37.0,320,2.55,44.1,3.56
46,10.611,0.16,94.9,6.989,37.0,320,2.96,45.3,3.57
47,10.399,0.33,94.5,6.989,37.0,320,2.5,44.9,3.54
48,10.554,0.18,95.2,7.019,37.0,320,2.51,44.0,3.51
49,10.552,0.6,94.5,7.039,37.0,320,2.81,46.2,3.45
50,10.489,0.22,95.6,7.022,37.0,320,2.93,45.3,3.55
51,10.553,0.18,95.2,7.021,37.0,320,3.23,44.8,3.51
52,10.522,0.48,95.5,7.028,37.0,320,2.33,43.5,3.51
53,10.583,0.54,93.4,7.018,37.0,320,2.2,44.0,3.49
54,10.596,0.18,94.3,7.016,37.0,320,3.08,47.4,3.42
55,10.521,0.2,95.8,7.025,37.0,320,3.17,44.0,3.5
56,10.509,0.09,94.7,7.006,37.0,320,3.36,45.4,3.45
57,10.499,0.6,94.5,7.028,37.0,320,2.88,46.1,3.53
58,10.522,0.18,93.4,7.019,37.0,320,2.75,44.6,3.49
59,10.461,0.68,94.4,7.008,37.0,320,2.53,44.8,3.54
60,10.387,0.38,94.3,7.018,37.0,320,3.01,45.8,3.47
61,10.526,0.63,95.9,7.03,37.0,320,2.71,46.0,3.52
62,10.498,0.12,95.3,7.025,37.0,320,3.07,44.5,3.57
63,10.508,0.53,95.3,7.013,37.0,320,2.42,44.9,3.49
64,10.586,0.18,93.7,7.02,37.0,320,3.28,46.6,3.47
65,10.512,0.36,94.3,7.017,37.0,320,2.62,44.0,3.47
66,10.498,0.35,93.9,7.021,37.0,320,2.41,44.2,3.44
67,10.767,0.54,95.9,7.03,37.0,320,2.63,45.1,3.51
68,10.552,0.42,96.1,6.985,37.0,320,2.54,45.7,3.48
69,10.515,0.58,95.0,7.041,37.0,320,2.69,45.2,3.45
70,10.404,0.24,94.9,7.016,37.0,320,2.3,45.7,3.5
71,10.522,0.18,96.2,7.038,37.0,320,2.79,44.9,3.51
72,10.622,0.83,94.9,7.015,37.0,320,2.16,47.8,3.44
73,10.572,0.41,95.9,7.01,37.0,320,2.22,45.2,3.52
74,10.587,0.02,94.5,7.017,37.0,320,2.3,44.8,3.54
75,10.515,0.07,95.1,7.03,37.0,320,2.86,45.8,3.42
76,10.544,0.44,94.5,7.019,37.0,320,2.47,46.2,3.48
77,10.458,0.37,94.9,7.028,37.0,320,2.45,44.3,3.52
78,10.648,0.42,93.8,7.022,37.0,320,2.47,43.1,3.46
79,10.478,0.42,95.9,7.034,37.0,320,2.94,44.6,3.51
80,10.509,0.6,94.3,7.013,37.0,320,3.15,45.6,3.48
81,10.52,0.37,95.0,7.03,37.0,320,2.81,44.8,3.47
82,10.405,0.27,95.8,7.023,37.0,320,2.5,44.8,3.46
83,10.525,0.72,96.3,7.034,37.0,320,2.94,44.8,3.44
84,10.507,0.28,95.5,7.022,37.0,320,2.53,45.5,3.65
85,10.451,0.57,95.3,7.019,37.0,320,2.47,45.0,3.51
86,10.55,0.49,95.1,7.012,37.0,320,2.79,44.5,3.45
87,10.556,0.25,93.9,7.021,37.0,320,2.12,44.9,3.52
88,10.476,0.41,96.6,7.037,37.0,320,2.98,45.6,3.47
89,10.491,0.32,94.9,7.021,37.0,320,2.45,46.6,3.45
90,10.519,0.56,94.8,7.012,37.0,320,2.71,46.9,3.53
91,10.478,0.49,94.7,6.997,37.0,320,2.77,46.0,3.56
92,10.49,0.13,95.8,7.018,37.0,320,2.92,46.1,3.52
93,10.489,0.27,94.5,7.02,37.0,320,2.55,45.4,3.4
94,10.43,0.38,94.3,7.013,37.0,320,2.35,45.7,3.58
95,10.428,0.6,93.7,7.021,37.0,320,2.09,45.5,3.5
96,10.495,0.62,95.3,7.019,37.0,320,2.44,45.0,3.46
97,10.459,0.67,95.5,7.023,37.0,320,2.87,43.5,3.5
98,10.381,0.28,95.1,7.024,37.0,320,2.89,45.1,3.5
99,10.479,0.66,95.9,7.002,37.0,320,2.72,46.2,3.48
100,10.49,0.3,93.9,7.021,37.0,320,2.55,44.8,3.42
101,10.404,0.38,94.4,7.025,37.0,320,2.34,45.6,3.52
102,10.474,0.52,94.7,7.016,37.0,320,2.64,43.6,3.49
103,10.513,0.11,95.3,7.01,37.0,320,2.54,44.9,3.5
104,10.544,0.38,96.1,7.019,37.0,320,2.79,45.5,3.46
105,10.394,0.43,95.3,7.029,37.0,320,2.54,46.6,3.48
106,10.421,0.63,95.8,7.008,37.0,320,2.92,43.7,3.5
107,10.6,0.68,95.4,7.028,37.0,320,2.44,45.3,3.52
108,10.403,0.49,95.3,7.023,37.0,320,2.82,44.8,3.44
109,10.466,0.12,94.3,7.034,37.0,320,3.23,45.4,3.38
110,10.542,0.57,94.8,7.03,37.0,320,2.87,43.9,3.43
111,10.522,0.07,95.4,7.024,37.0,320,3.0,46.8,3.57
