mission_time,cabin_CO2_ppm,cabin_O2_pct,cabin_RH_pct,cabin_temp_C,crew,lamp_duty,scrubber_cmd,power_kW
MD001T00:00,858,20.473,43,21.45,4,1.0,1.0,3.79
MD001T01:00,834,20.45,44,21.57,4,1.0,1.0,3.9
MD001T02:00,784,20.485,43,21.82,4,1.0,1.0,3.94
MD001T03:00,824,20.493,46,21.68,4,1.0,1.0,3.91
MD001T04:00,858,20.487,46,21.53,4,1.0,1.0,3.92
MD001T05:00,829,20.42,49,21.34,4,1.0,1.0,3.78
MD001T06:00,806,20.477,49,21.57,4,1.0,1.0,3.88
MD001T07:00,838,20.459,47,21.46,4,1.0,1.0,3.93
MD001T08:00,843,20.417,46,21.62,4,1.0,1.0,3.93
MD001T09:00,816,20.44,45,21.67,4,1.0,1.0,3.85
MD001T10:00,817,20.489,45,21.49,4,1.0,1.0,3.89
MD001T11:00,838,20.487,44,21.41,4,1.0,1.0,3.89
MD001T12:00,848,20.437,44,21.64,4,1.0,1.0,3.91
MD001T13:00,836,20.461,42,21.49,4,1.0,1.0,3.97
MD001T14:00,809,20.491,41,21.95,4,1.0,1.0,3.8
MD001T15:00,869,20.448,42,21.59,4,1.0,1.0,3.86
MD001T16:00,883,20.468,40,21.68,4,1.0,1.0,3.94
MD001T17:00,809,20.477,41,21.7,4,1.0,1.0,3.94
MD001T18:00,834,20.458,42,21.64,4,0.65,1.0,3.81
MD001T19:00,822,20.456,41,21.87,4,0.65,1.0,3.88
MD001T20:00,844,20.499,42,21.65,4,0.65,1.0,3.98
MD001T21:00,838,20.47,43,21.65,4,0.65,1.0,3.86
MD001T22:00,808,20.464,44,21.57,4,0.65,1.0,3.97
MD001T23:00,843,20.46,41,21.63,4,0.65,1.0,3.88
MD002T00:00,799,20.476,44,21.65,4,1.0,1.0,3.86
MD002T01:00,838,20.457,46,21.61,4,1.0,1.0,3.82
MD002T02:00,839,20.468,45,21.44,4,1.0,1.0,3.96
MD002T03:00,818,20.498,45,21.6,4,1.0,1.0,3.9
MD002T04:00,837,20.519,46,21.85,4,1.0,1.0,3.94
MD002T05:00,819,20.491,48,21.71,4,1.0,1.0,3.82
MD002T06:00,845,20.458,47,21.58,4,1.0,1.0,3.9
MD002T07:00,869,20.474,45,21.75,4,1.0,1.0,3.91
MD002T08:00,837,20.43,47,21.54,4,1.0,1.0,3.96
MD002T09:00,844,20.483,46,21.38,4,1.0,1.0,3.96
MD002T10:00,843,20.46,45,21.49,4,1.0,1.0,3.79
MD002T11:00,808,20.465,46,21.65,4,1.0,1.0,4.0
MD002T12:00,812,20.491,44,21.78,4,1.0,1.0,3.97
MD002T13:00,835,20.469,44,21.5,4,1.0,1.0,3.77
MD002T14:00,852,20.51,41,21.63,4,1.0,1.0,3.83
MD002T15:00,828,20.446,43,21.53,4,1.0,1.0,3.89
MD002T16:00,810,20.481,41,21.55,4,1.0,1.0,3.9
MD002T17:00,802,20.466,39,21.57,4,1.0,1.0,3.89
MD002T18:00,825,20.462,40,21.66,4,0.65,1.0,3.9
MD002T19:00,824,20.462,40,21.58,4,0.65,1.0,3.88
MD002T20:00,794,20.499,41,21.52,4,0.65,1.0,3.92
MD002T21:00,788,20.458,42,21.57,4,0.65,1.0,3.9
MD002T22:00,824,20.459,42,21.62,4,0.65,1.0,3.83
MD002T23:00,840,20.472,43,21.53,4,0.65,1.0,3.91
MD003T00:00,859,20.488,43,21.53,4,1.0,1.0,3.87
MD003T01:00,842,20.463,45,21.75,4,1.0,1.0,3.91
MD003T02:00,843,20.473,45,21.58,4,1.0,1.0,3.88
MD003T03:00,822,20.496,47,21.27,4,1.0,1.0,3.85
MD003T04:00,831,20.465,46,21.56,4,1.0,1.0,3.87
MD003T05:00,823,20.478,47,21.53,4,1.0,1.0,3.88
MD003T06:00,833,20.443,46,21.67,4,1.0,1.0,3.96
MD003T07:00,781,20.515,46,21.69,4,1.0,1.0,3.82
MD003T08:00,849,20.467,47,21.56,4,1.0,1.0,3.88
MD003T09:00,850,20.451,46,21.55,4,1.0,1.0,3.8
MD003T10:00,836,20.465,45,21.44,4,1.0,1.0,3.88
MD003T11:00,830,20.466,45,21.46,4,1.0,1.0,3.96
MD003T12:00,851,20.482,44,21.76,4,1.0,1.0,3.94
MD003T13:00,859,20.473,43,21.68,4,1.0,1.0,3.86
MD003T14:00,829,20.47,42,21.31,4,1.0,1.0,3.86
MD003T15:00,818,20.483,40,21.51,4,1.0,1.0,4.0
MD003T16:00,782,20.461,41,21.39,4,1.0,1.0,3.9
MD003T17:00,814,20.412,40,21.44,4,1.0,1.0,3.96
MD003T18:00,834,20.444,41,21.83,4,0.65,1.0,3.82
MD003T19:00,811,20.464,41,21.62,4,0.65,1.0,3.81
MD003T20:00,836,20.442,41,21.71,4,0.65,1.0,3.86
MD003T21:00,847,20.459,42,21.62,4,0.65,1.0,3.94
MD003T22:00,850,20.451,44,21.67,4,0.65,1.0,3.96
MD003T23:00,855,20.456,43,21.61,4,0.65,1.0,3.92
MD004T00:00,871,20.503,47,21.82,4,1.0,1.0,4.0
MD004T01:00,832,20.45,45,21.57,4,1.0,1.0,3.84
MD004T02:00,830,20.474,46,21.71,4,1.0,1.0,3.94
MD004T03:00,846,20.489,46,21.61,4,1.0,1.0,3.99
MD004T04:00,861,20.431,47,21.79,4,1.0,1.0,3.93
MD004T05:00,870,20.428,47,21.36,4,1.0,1.0,3.94
MD004T06:00,820,20.483,46,21.62,4,1.0,1.0,3.92
MD004T07:00,851,20.419,48,21.54,4,1.0,1.0,4.05
MD004T08:00,850,20.45,46,21.81,4,1.0,1.0,3.99
MD004T09:00,875,20.461,45,21.49,4,1.0,1.0,3.98
MD004T10:00,848,20.429,44,21.56,4,1.0,1.0,3.93
MD004T11:00,870,20.399,46,21.62,4,1.0,1.0,3.75
MD004T12:00,854,20.416,43,21.62,4,1.0,1.0,3.97
MD004T13:00,882,20.415,45,21.79,4,1.0,1.0,3.88
MD004T14:00,926,20.375,44,21.66,4,1.0,1.0,3.85
MD004T15:00,886,20.406,43,21.71,4,1.0,1.0,3.92
MD004T16:00,895,20.398,40,21.55,4,1.0,1.0,3.85
MD004T17:00,903,20.398,41,21.39,4,1.0,1.0,3.96
MD004T18:00,917,20.39,40,21.57,4,0.65,1.0,3.88
MD004T19:00,956,20.35,42,21.59,4,0.65,1.0,3.94
MD004T20:00,919,20.333,42,21.55,4,0.65,1.0,3.93
MD004T21:00,955,20.324,41,21.57,4,0.65,1.0,3.93
MD004T22:00,961,20.367,42,21.76,4,0.65,1.0,3.9
MD004T23:00,955,20.333,42,21.6,4,0.65,1.0,3.91
MD005T00:00,970,20.379,44,21.64,4,1.0,1.0,3.82
MD005T01:00,967,20.327,45,21.57,4,1.0,1.0,3.92
MD005T02:00,959,20.341,47,21.46,4,1.0,1.0,3.81
MD005T03:00,975,20.313,45,21.62,4,1.0,1.0,3.94
MD005T04:00,1019,20.323,45,21.36,4,1.0,1.0,3.93
MD005T05:00,990,20.276,46,21.52,4,1.0,1.0,3.93
MD005T06:00,983,20.255,48,21.67,4,1.0,1.0,3.79
MD005T07:00,983,20.28,48,21.83,4,1.0,1.0,3.93
MD005T08:00,1047,20.258,47,21.53,4,1.0,1.0,3.96
MD005T09:00,1050,20.274,46,21.47,4,1.0,1.0,3.89
MD005T10:00,1075,20.251,44,21.71,4,1.0,1.0,3.87
MD005T11:00,1091,20.227,44,21.68,4,1.0,1.0,3.82
MD005T12:00,1097,20.214,44,21.41,4,1.0,1.0,3.89
MD005T13:00,1070,20.246,42,21.57,4,1.0,1.0,3.85
MD005T14:00,1092,20.207,44,21.67,4,1.0,1.0,3.8
MD005T15:00,1144,20.197,43,21.55,4,1.0,1.0,3.94
MD005T16:00,1111,20.178,41,21.49,4,1.0,1.0,3.92
MD005T17:00,1133,20.187,42,21.72,4,1.0,1.0,3.92
MD005T18:00,1158,20.167,42,21.59,4,0.65,1.0,3.79
MD005T19:00,1131,20.134,41,21.58,4,0.65,1.0,3.91
MD005T20:00,1170,20.121,41,21.68,4,0.65,1.0,3.94
MD005T21:00,1197,20.126,44,21.52,4,0.65,1.0,3.81
MD005T22:00,1174,20.092,43,21.59,4,0.65,1.0,3.81
MD005T23:00,1196,20.126,43,21.55,4,0.65,1.0,3.85
MD006T00:00,1191,20.067,44,21.47,4,1.0,1.0,3.91
MD006T01:00,1240,20.097,45,21.72,4,1.0,1.0,3.93
MD006T02:00,1215,20.078,46,21.56,4,1.0,1.0,3.93
MD006T03:00,1222,20.065,47,21.61,4,1.0,1.0,3.88
MD006T04:00,1259,20.028,46,21.66,4,1.0,1.0,3.96
MD006T05:00,1284,20.032,47,21.52,4,1.0,1.0,3.91
MD006T06:00,1266,19.996,47,21.56,4,1.0,1.0,3.89
MD006T07:00,1274,20.037,47,21.5,4,1.0,1.0,3.94
MD006T08:00,1307,19.979,46,21.71,4,1.0,1.0,3.88
MD006T09:00,1328,19.968,47,21.65,4,1.0,1.0,3.93
MD006T10:00,1342,19.986,46,21.53,4,1.0,1.0,4.0
MD006T11:00,1338,19.941,45,21.7,4,1.0,1.0,3.93
MD006T12:00,1338,19.929,45,21.63,4,1.0,1.0,3.91
MD006T13:00,1342,19.925,43,21.47,4,1.0,1.0,3.79
MD006T14:00,1395,19.925,41,21.56,4,1.0,1.0,3.98
MD006T15:00,1440,19.897,40,21.62,4,1.0,1.0,3.95
MD006T16:00,1476,19.9,42,21.57,4,1.0,1.0,3.82
MD006T17:00,1419,19.848,41,21.69,4,1.0,1.0,3.91
MD006T18:00,1408,19.843,42,21.7,4,0.65,1.0,3.99
MD006T19:00,1444,19.841,41,21.47,4,0.65,1.0,3.86
MD006T20:00,1444,19.784,42,21.58,4,0.65,1.0,3.87
MD006T21:00,1527,19.794,42,21.47,4,0.65,1.0,3.83
MD006T22:00,1506,19.773,42,21.6,4,0.65,1.0,4.0
MD006T23:00,1512,19.743,44,21.75,4,0.65,1.0,4.0
MD007T00:00,1526,19.761,42,21.59,4,1.0,1.0,3.84
MD007T01:00,1554,19.704,46,21.71,4,1.0,1.0,3.93
MD007T02:00,1563,19.75,47,21.57,4,1.0,1.0,3.97
MD007T03:00,1613,19.711,47,21.69,4,1.0,1.0,3.9
MD007T04:00,1591,19.66,47,21.55,4,1.0,1.0,3.92
MD007T05:00,1598,19.654,47,21.78,4,1.0,1.0,3.88
MD007T06:00,1643,19.646,48,21.91,4,1.0,1.0,3.82
MD007T07:00,1714,19.586,48,21.78,4,1.0,1.0,3.97
MD007T08:00,1645,19.587,48,21.66,4,1.0,1.0,3.96
MD007T09:00,1715,19.593,46,21.53,4,1.0,1.0,3.96
MD007T10:00,1784,19.546,45,21.49,4,1.0,1.0,3.85
MD007T11:00,1757,19.557,45,21.63,4,1.0,1.0,3.83
MD007T12:00,1770,19.506,44,21.66,4,1.0,1.0,3.9
MD007T13:00,1822,19.509,44,21.95,4,1.0,1.0,3.95
MD007T14:00,1781,19.462,42,21.69,4,1.0,1.0,3.88
MD007T15:00,1849,19.456,42,21.57,4,1.0,1.0,4.02
MD007T16:00,1878,19.416,41,21.8,4,1.0,1.0,3.91
MD007T17:00,1930,19.427,41,21.57,4,1.0,1.0,3.89
MD007T18:00,1897,19.412,42,21.56,4,0.65,1.0,3.94
MD007T19:00,1895,19.38,42,21.59,4,0.65,1.0,3.86
MD007T20:00,1960,19.376,43,21.67,4,0.65,1.0,4.01
MD007T21:00,1963,19.344,40,21.6,4,0.65,1.0,3.91
MD007T22:00,2039,19.335,44,21.49,4,0.65,1.0,3.88
MD007T23:00,2019,19.26,43,21.69,4,0.65,1.0,3.9
MD008T00:00,2020,19.3,44,21.6,4,1.0,1.0,3.82
MD008T01:00,2083,19.232,44,21.52,4,1.0,1.0,3.98
MD008T02:00,2047,19.192,46,21.64,4,1.0,1.0,3.93
MD008T03:00,2106,19.197,45,21.52,4,1.0,1.0,3.89
MD008T04:00,2126,19.171,47,21.52,4,1.0,1.0,3.83
MD008T05:00,2202,19.117,47,21.43,4,1.0,1.0,3.83
MD008T06:00,2195,19.144,49,21.55,4,1.0,1.0,3.85
MD008T07:00,2232,19.112,46,21.52,4,1.0,1.0,3.99
MD008T08:00,2224,19.075,46,21.65,4,1.0,1.0,3.82
MD008T09:00,2279,19.011,45,21.54,4,1.0,1.0,3.98
MD008T10:00,2304,19.005,46,21.53,4,1.0,1.0,3.97
MD008T11:00,2295,19.017,45,21.63,4,1.0,1.0,3.76
MD008T12:00,2353,18.948,45,21.47,4,1.0,1.0,4.0
MD008T13:00,2377,18.927,43,21.9,4,1.0,1.0,3.87
MD008T14:00,2412,18.912,45,21.61,4,1.0,1.0,3.87
MD008T15:00,2433,18.865,43,21.62,4,1.0,1.0,3.84
MD008T16:00,2470,18.838,41,21.72,4,1.0,1.0,3.98
MD008T17:00,2446,18.817,42,21.8,4,1.0,1.0,3.95
MD008T18:00,2565,18.798,40,21.55,4,0.65,1.0,3.86
MD008T19:00,2572,18.736,40,21.67,4,0.65,1.0,3.99
MD008T20:00,2591,18.702,41,21.58,4,0.65,1.0,3.91
MD008T21:00,2626,18.696,42,21.37,4,0.65,1.0,3.96
MD008T22:00,2721,18.633,41,21.77,4,0.65,1.0,4.01
MD008T23:00,2691,18.66,45,21.72,4,0.65,1.0,4.06
MD009T00:00,2676,18.608,43,21.52,4,1.0,1.0,3.89
MD009T01:00,2741,18.551,47,21.65,4,1.0,1.0,3.88
MD009T02:00,2770,18.515,44,21.85,4,1.0,1.0,3.86
MD009T03:00,2857,18.457,45,21.51,4,1.0,1.0,3.93
MD009T04:00,2867,18.426,45,21.58,4,1.0,1.0,3.92
MD009T05:00,2894,18.376,48,21.59,4,1.0,1.0,3.92
MD009T06:00,2930,18.364,48,21.81,4,1.0,1.0,3.93
MD009T07:00,2936,18.337,47,21.62,4,1.0,1.0,3.97
MD009T08:00,2971,18.307,47,21.61,4,1.0,1.0,3.89
MD009T09:00,3005,18.267,46,21.74,4,1.0,1.0,3.89
MD009T10:00,3093,18.255,46,21.65,4,1.0,1.0,3.91
MD009T11:00,3090,18.19,46,21.52,4,1.0,1.0,3.97
MD009T12:00,3119,18.17,45,21.76,4,1.0,1.0,3.92
MD009T13:00,3153,18.105,43,21.7,4,1.0,1.0,3.84
MD009T14:00,3230,18.09,41,21.52,4,1.0,1.0,3.93
MD009T15:00,3228,18.057,42,21.33,4,1.0,1.0,3.77
MD009T16:00,3266,17.981,42,21.58,4,1.0,1.0,3.85
MD009T17:00,3329,17.983,39,21.48,4,1.0,1.0,3.88
MD009T18:00,3399,17.931,42,21.44,4,0.65,1.0,3.83
MD009T19:00,3416,17.885,43,21.7,4,0.65,1.0,3.84
MD009T20:00,3415,17.874,42,21.65,4,0.65,1.0,3.83
MD009T21:00,3492,17.786,42,21.66,4,0.65,1.0,3.85
MD009T22:00,3511,17.841,43,21.61,4,0.65,1.0,3.83
MD009T23:00,3581,17.737,44,21.75,4,0.65,1.0,3.94
MD010T00:00,3667,17.681,43,21.71,4,1.0,1.0,3.85
MD010T01:00,3671,17.625,45,21.86,4,1.0,1.0,3.91
MD010T02:00,3704,17.647,46,21.55,4,1.0,1.0,3.89
MD010T03:00,3775,17.597,48,21.62,4,1.0,1.0,3.86
MD010T04:00,3788,17.489,45,21.51,4,1.0,1.0,3.9
MD010T05:00,3836,17.431,49,21.59,4,1.0,1.0,3.95
MD010T06:00,3906,17.444,49,21.56,4,1.0,1.0,3.84
MD010T07:00,3913,17.372,49,21.36,4,1.0,1.0,3.93
MD010T08:00,3964,17.353,46,21.5,4,1.0,1.0,3.89
MD010T09:00,3963,17.275,46,21.47,4,1.0,1.0,3.86
MD010T10:00,4057,17.203,45,21.4,4,1.0,1.0,3.92
MD010T11:00,4113,17.209,43,21.52,4,1.0,1.0,3.85
MD010T12:00,4141,17.183,43,21.81,4,1.0,1.0,3.93
MD010T13:00,4217,17.107,42,21.95,4,1.0,1.0,3.91
MD010T14:00,4217,17.038,40,21.78,4,1.0,1.0,3.92
MD010T15:00,4283,17.005,42,21.74,4,1.0,1.0,3.84
MD010T16:00,4319,16.938,40,21.53,4,1.0,1.0,3.91
MD010T17:00,4425,16.935,41,21.61,4,1.0,1.0,3.96
MD010T18:00,4420,16.855,40,21.61,4,0.65,1.0,3.94
MD010T19:00,4488,16.832,41,21.69,4,0.65,1.0,3.93
MD010T20:00,4558,16.767,42,21.58,4,0.65,1.0,3.87
MD010T21:00,4598,16.737,42,21.58,4,0.65,1.0,3.87
MD010T22:00,4643,16.684,43,21.62,4,0.65,1.0,3.97
MD010T23:00,4707,16.615,43,21.6,4,0.65,1.0,3.86
MD011T00:00,4721,16.597,43,21.49,4,1.0,1.0,3.91
MD011T01:00,4795,16.525,44,21.65,4,1.0,1.0,3.89
MD011T02:00,4818,16.477,46,21.54,4,1.0,1.0,3.91
MD011T03:00,4890,16.404,46,21.56,4,1.0,1.0,3.89
MD011T04:00,4949,16.39,47,21.76,4,1.0,1.0,3.84
MD011T05:00,5001,16.307,46,21.79,4,1.0,1.0,3.96
MD011T06:00,5068,16.297,45,21.72,4,1.0,1.0,3.84
MD011T07:00,5111,16.262,47,21.37,4,1.0,1.0,3.93
MD011T08:00,5143,16.19,49,21.6,4,1.0,1.0,3.83
MD011T09:00,5176,16.076,45,21.55,4,1.0,1.0,3.93
MD011T10:00,5227,16.046,48,21.39,4,1.0,1.0,3.94
MD011T11:00,5311,15.991,45,21.56,4,1.0,1.0,3.84
MD011T12:00,5366,15.938,45,21.47,4,1.0,1.0,3.83
MD011T13:00,5453,15.884,44,21.53,4,1.0,1.0,3.91
MD011T14:00,5471,15.813,43,21.76,4,1.0,1.0,3.92
MD011T15:00,5547,15.793,42,21.62,4,1.0,1.0,3.84
MD011T16:00,5580,15.727,43,21.47,4,1.0,1.0,3.83
MD011T17:00,5638,15.64,41,21.7,4,1.0,1.0,3.81
MD011T18:00,5685,15.631,42,21.49,4,0.65,1.0,3.87
MD011T19:00,5706,15.559,42,21.7,4,0.65,1.0,4.01
MD011T20:00,5799,15.504,41,21.68,4,0.65,1.0,3.98
MD011T21:00,5810,15.452,41,21.49,4,0.65,1.0,3.91
MD011T22:00,5883,15.465,43,21.64,4,0.65,1.0,3.93
MD011T23:00,5898,15.409,45,21.49,4,0.65,1.0,3.98
MD012T00:00,5970,15.373,45,22.04,4,1.0,1.0,3.9
MD012T01:00,5997,15.286,45,21.71,4,1.0,1.0,3.87
MD012T02:00,6015,15.254,44,21.9,4,1.0,1.0,3.93
MD012T03:00,6049,15.225,47,21.57,4,1.0,1.0,3.88
MD012T04:00,6123,15.168,47,21.5,4,1.0,1.0,3.84
MD012T05:00,6163,15.13,46,21.61,4,1.0,1.0,3.97
MD012T06:00,6185,15.124,46,21.48,4,1.0,1.0,4.0
MD012T07:00,6231,15.067,46,21.55,4,1.0,1.0,3.92
MD012T08:00,6260,15.046,46,21.5,4,1.0,1.0,4.06
MD012T09:00,6297,15.0,47,21.6,4,1.0,1.0,4.05
MD012T10:00,6343,14.984,46,21.8,4,1.0,1.0,4.0
MD012T11:00,6370,14.909,45,21.37,4,1.0,1.0,3.91
MD012T12:00,6426,14.903,43,21.87,4,1.0,1.0,3.95
MD012T13:00,6414,14.833,42,21.73,4,1.0,1.0,3.89
MD012T14:00,6481,14.836,43,21.53,4,1.0,1.0,4.0
MD012T15:00,6491,14.801,42,21.7,4,1.0,1.0,3.89
MD012T16:00,6518,14.77,44,21.37,4,1.0,1.0,3.94
MD012T17:00,6564,14.721,40,21.52,4,1.0,1.0,3.82
MD012T18:00,6581,14.719,41,21.39,4,0.65,1.0,3.82
MD012T19:00,6656,14.66,40,21.78,4,0.65,1.0,3.86
MD012T20:00,6643,14.678,43,21.68,4,0.65,1.0,3.87
MD012T21:00,6623,14.617,42,21.56,4,0.65,1.0,3.88
MD012T22:00,6711,14.59,41,21.56,4,0.65,1.0,3.91
MD012T23:00,6739,14.572,43,21.48,4,0.65,1.0,3.87
MD013T00:00,6737,14.533,44,21.77,4,1.0,1.0,3.87
MD013T01:00,6775,14.487,45,21.76,4,1.0,1.0,3.91
MD013T02:00,6810,14.51,47,21.59,4,1.0,1.0,3.89
MD013T03:00,6845,14.466,46,21.56,4,1.0,1.0,3.91
MD013T04:00,6842,14.48,46,21.52,4,1.0,1.0,3.98
MD013T05:00,6896,14.466,48,21.47,4,1.0,1.0,4.0
MD013T06:00,6916,14.387,47,21.43,4,1.0,1.0,3.91
MD013T07:00,6892,14.393,45,21.73,4,1.0,1.0,3.99
MD013T08:00,6943,14.335,46,21.68,4,1.0,1.0,3.74
MD013T09:00,6973,14.309,46,21.52,4,1.0,1.0,3.89
MD013T10:00,6989,14.308,46,21.41,4,1.0,1.0,3.9
MD013T11:00,6970,14.297,45,21.6,4,1.0,1.0,3.9
MD013T12:00,7014,14.293,43,21.59,4,1.0,1.0,3.89
MD013T13:00,7055,14.255,43,21.78,4,1.0,1.0,3.87
MD013T14:00,7025,14.274,42,21.59,4,1.0,1.0,3.89
MD013T15:00,7073,14.214,40,21.61,4,1.0,1.0,4.03
MD013T16:00,7113,14.209,41,21.46,4,1.0,1.0,3.85
MD013T17:00,7094,14.161,43,21.6,4,1.0,1.0,3.85
