timestamp,EC_mS_cm,pH,water_temp_C,air_temp_C,RH_pct,DO_mgL,rootzone_water_L,irrigation_L_day,PPFD_umol
2026-04-01T00:00,1.966,5.89,19.5,21.7,71,7.34,3.95,9.0,0
2026-04-01T06:00,1.964,5.87,19.85,24.3,63,7.48,3.94,9.0,240
2026-04-01T12:00,1.954,5.86,19.47,21.8,60,7.48,3.93,9.0,240
2026-04-01T18:00,1.92,5.86,18.75,19.2,67,7.34,3.92,9.0,240
2026-04-02T00:00,1.92,5.85,19.47,21.8,70,7.45,3.96,9.0,0
2026-04-02T06:00,1.956,5.87,20.08,24.0,62,7.44,3.95,9.0,240
2026-04-02T12:00,1.998,5.81,19.35,21.6,58,7.42,3.95,9.0,240
2026-04-02T18:00,1.943,5.89,18.87,19.7,69,7.51,3.92,9.0,240
2026-04-03T00:00,1.984,5.87,19.26,21.9,71,7.49,3.93,9.0,0
2026-04-03T06:00,1.965,5.86,19.93,24.1,63,7.46,3.93,9.0,240
2026-04-03T12:00,1.998,5.87,19.39,21.9,62,7.61,3.91,9.0,240
2026-04-03T18:00,1.992,5.86,18.79,19.4,70,7.25,3.95,9.0,240
2026-04-04T00:00,2.004,5.8,19.38,21.5,72,7.58,3.98,9.0,0
2026-04-04T06:00,1.912,5.83,20.06,24.3,64,7.31,3.95,9.0,240
2026-04-04T12:00,1.965,5.84,19.34,21.9,61,7.39,3.94,9.0,240
2026-04-04T18:00,1.927,5.84,18.9,19.6,66,7.56,3.95,9.0,240
2026-04-05T00:00,2.028,5.85,19.36,21.5,73,7.71,3.93,9.0,0
2026-04-05T06:00,1.946,5.87,19.93,23.9,63,7.42,3.96,9.0,240
2026-04-05T12:00,1.966,5.88,19.37,21.9,57,7.23,3.96,9.0,240
2026-04-05T18:00,1.947,5.87,18.84,19.9,70,7.52,3.94,9.0,240
2026-04-06T00:00,1.944,5.83,19.36,21.6,71,7.39,3.95,9.0,0
2026-04-06T06:00,1.955,5.79,19.99,24.0,65,7.47,3.93,9.0,240
2026-04-06T12:00,1.943,5.91,19.46,22.2,64,7.3,3.95,9.0,240
2026-04-06T18:00,1.979,5.87,18.84,19.6,69,7.22,3.94,9.0,240
2026-04-07T00:00,1.943,5.85,19.36,21.9,73,7.44,3.95,9.0,0
2026-04-07T06:00,1.968,5.84,19.99,23.9,64,7.4,3.95,9.0,240
2026-04-07T12:00,1.925,5.88,19.34,21.7,60,7.33,3.95,9.0,240
2026-04-07T18:00,1.948,5.82,18.73,19.9,69,7.26,3.94,9.0,240
2026-04-08T00:00,1.919,5.9,19.28,21.9,72,7.23,3.95,9.0,0
2026-04-08T06:00,1.995,5.86,20.02,24.2,64,7.44,3.94,9.0,240
2026-04-08T12:00,1.984,5.82,19.46,21.7,59,7.44,3.98,9.0,240
2026-04-08T18:00,1.994,5.83,18.86,19.5,68,7.41,3.9,9.0,240
2026-04-09T00:00,1.971,5.82,19.34,21.5,69,7.29,3.96,9.0,0
2026-04-09T06:00,2.015,5.85,20.09,23.9,61,7.42,3.95,9.0,240
2026-04-09T12:00,1.955,5.86,19.45,21.6,58,7.37,3.94,9.0,240
2026-04-09T18:00,1.961,5.88,18.94,19.5,70,7.51,3.96,9.0,240
2026-04-10T00:00,2.008,5.84,19.46,22.2,73,7.33,3.96,9.0,0
2026-04-10T06:00,2.02,5.86,19.95,24.3,62,7.46,3.94,9.0,240
2026-04-10T12:00,1.952,5.89,19.43,21.6,61,7.35,3.9,9.0,240
2026-04-10T18:00,1.973,5.86,18.85,19.6,69,7.46,3.94,9.0,240
2026-04-11T00:00,2.035,5.85,19.42,21.9,70,7.31,3.97,9.0,0
2026-04-11T06:00,2.016,5.84,20.03,23.9,64,7.32,3.95,9.0,240
2026-04-11T12:00,1.965,5.89,19.36,21.5,60,7.36,3.95,9.0,240
2026-04-11T18:00,1.985,5.86,19.09,19.3,69,7.36,3.95,9.0,240
2026-04-12T00:00,1.971,5.82,19.44,21.8,74,7.32,3.95,9.0,0
2026-04-12T06:00,2.119,5.83,19.93,24.0,63,7.5,3.95,9.0,240
2026-04-12T12:00,2.015,5.86,19.61,22.1,56,7.38,3.93,9.0,240
2026-04-12T18:00,2.063,5.84,18.95,19.8,70,7.42,3.94,9.0,240
2026-04-13T00:00,2.061,5.89,19.44,21.7,73,7.42,3.94,9.0,0
2026-04-13T06:00,2.034,5.83,19.95,23.4,65,7.47,3.94,9.0,240
2026-04-13T12:00,2.096,5.86,19.43,21.3,60,7.46,3.98,9.0,240
2026-04-13T18:00,2.126,5.89,18.71,19.2,69,7.4,3.96,9.0,240
2026-04-14T00:00,2.074,5.86,19.28,21.9,71,7.44,3.95,9.0,0
2026-04-14T06:00,2.08,5.86,20.0,24.2,64,7.33,3.93,9.0,240
2026-04-14T12:00,2.143,5.85,19.48,21.9,60,7.31,3.95,9.0,240
2026-04-14T18:00,2.105,5.87,18.7,19.5,68,7.59,3.9,9.0,240
2026-04-15T00:00,2.117,5.83,19.43,21.7,72,7.59,3.95,9.0,0
2026-04-15T06:00,2.124,5.86,19.94,24.1,63,7.3,3.94,9.0,240
2026-04-15T12:00,2.11,5.87,19.4,21.7,63,7.52,3.97,9.0,240
2026-04-15T18:00,2.142,5.85,18.77,19.5,70,7.41,3.91,9.0,240
2026-04-16T00:00,2.129,5.81,19.41,21.6,70,7.41,3.94,9.0,0
2026-04-16T06:00,2.088,5.87,20.17,23.7,66,7.32,3.93,9.0,240
2026-04-16T12:00,2.139,5.81,19.5,21.9,59,7.37,3.91,9.0,240
2026-04-16T18:00,2.141,5.88,18.66,19.5,69,7.53,3.97,9.0,240
2026-04-17T00:00,2.144,5.83,19.44,21.7,71,7.53,3.98,9.0,0
2026-04-17T06:00,2.173,5.84,20.05,23.6,63,7.27,3.99,9.0,240
2026-04-17T12:00,2.193,5.85,19.38,21.3,62,7.6,3.93,9.0,240
2026-04-17T18:00,2.199,5.87,18.68,19.8,71,7.43,3.94,9.0,240
2026-04-18T00:00,2.209,5.8,19.41,22.0,70,7.52,3.93,9.0,0
2026-04-18T06:00,2.13,5.85,19.92,24.1,62,7.53,3.93,9.0,240
2026-04-18T12:00,2.21,5.83,19.37,22.0,61,7.35,3.92,9.0,240
2026-04-18T18:00,2.241,5.87,18.77,19.6,67,7.28,3.93,9.0,240
2026-04-19T00:00,2.223,5.86,19.34,21.9,73,7.42,3.96,9.0,0
2026-04-19T06:00,2.211,5.85,20.04,24.0,65,7.25,3.97,9.0,240
2026-04-19T12:00,2.203,5.85,19.29,21.9,62,7.53,3.96,9.0,240
2026-04-19T18:00,2.187,5.83,18.76,19.4,70,7.42,3.94,9.0,240
2026-04-20T00:00,2.255,5.82,19.33,21.6,72,7.44,3.95,9.0,0
2026-04-20T06:00,2.28,5.81,19.96,24.0,61,7.34,3.96,9.0,240
2026-04-20T12:00,2.288,5.88,19.4,21.8,62,7.36,3.95,9.0,240
2026-04-20T18:00,2.302,5.84,18.75,19.6,69,7.46,3.95,9.0,240
2026-04-21T00:00,2.286,5.8,19.33,21.8,70,7.24,3.92,9.0,0
2026-04-21T06:00,2.249,5.84,19.92,24.0,66,7.38,3.97,9.0,240
2026-04-21T12:00,2.292,5.82,19.38,21.6,62,7.26,3.97,9.0,240
2026-04-21T18:00,2.308,5.79,18.86,19.9,67,7.52,3.91,9.0,240
2026-04-22T00:00,2.305,5.8,19.44,21.4,68,7.45,3.99,9.0,0
2026-04-22T06:00,2.287,5.87,20.01,23.9,64,7.6,3.92,9.0,240
2026-04-22T12:00,2.329,5.86,19.29,22.1,63,7.29,3.98,9.0,240
2026-04-22T18:00,2.321,5.85,18.92,19.6,69,7.58,3.97,9.0,240
2026-04-23T00:00,2.353,5.81,19.27,22.0,70,7.42,3.92,9.0,0
2026-04-23T06:00,2.328,5.81,20.13,23.8,63,7.38,3.97,9.0,240
2026-04-23T12:00,2.299,5.85,19.38,21.9,61,7.34,3.95,9.0,240
2026-04-23T18:00,2.337,5.86,18.79,19.5,68,7.44,3.99,9.0,240
2026-04-24T00:00,2.341,5.86,19.52,21.4,69,7.26,3.94,9.0,0
